timestamp,SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
2017-01-08 12:00:00,08-Jan-2017,30.50,39811.00,40585.00,36121.08,634.83,4781.00,463.00,11503.00,101.50,7.75,188.00,0.00,883.00,-61.33,98.17,0.00,,
2017-01-08 18:00:00,08-Jan-2017,42.50,35345.08,36697.75,32576.08,1334.83,4781.00,0.00,11503.00,17.17,9.67,-519.33,0.00,1001.58,2.75,268.50,0.00,,
2017-01-09 00:00:00,09-Jan-2017,6.50,24376.00,27276.58,22954.75,2224.75,4781.00,0.00,11503.00,0.00,1427.83,-872.83,0.00,801.17,291.17,285.00,0.00,,
2017-01-09 06:00:00,09-Jan-2017,18.50,38020.67,40242.67,35296.33,2669.50,4781.00,254.58,11503.00,0.00,27.33,-1004.50,0.00,-554.58,90.33,219.25,0.00,,
2017-01-09 12:00:00,09-Jan-2017,30.50,43174.17,44732.17,39970.92,2632.08,4781.00,286.33,11503.00,0.00,6.33,-283.17,0.00,48.67,-145.33,170.25,0.00,,
2017-01-09 18:00:00,09-Jan-2017,42.50,37825.42,39213.00,35076.50,2599.17,4781.00,0.00,11503.00,0.00,9.50,-534.25,0.00,967.50,-175.33,203.83,0.00,,
2017-01-10 00:00:00,10-Jan-2017,6.50,25875.92,28662.75,24296.75,2667.42,4781.00,0.00,11503.00,0.00,1409.00,-776.50,0.00,900.50,296.50,287.00,0.00,,
2017-01-10 06:00:00,10-Jan-2017,18.50,39243.83,41292.25,36272.67,2395.83,4781.00,529.42,11503.00,106.33,28.92,-1021.17,0.00,-330.58,97.83,143.42,0.00,,
2017-01-10 12:00:00,10-Jan-2017,30.50,43298.17,45571.42,40006.42,2169.00,4781.00,557.58,11503.00,1.00,7.00,-772.08,0.00,-444.08,-251.17,16.00,0.00,,
2017-01-10 18:00:00,10-Jan-2017,42.50,38384.67,40286.83,35580.33,2184.92,4781.00,0.00,11503.00,0.00,19.75,-880.92,0.00,964.58,-281.42,33.42,0.00,,
2017-01-11 00:00:00,11-Jan-2017,6.50,25591.83,28548.00,23804.92,3279.83,4781.00,0.00,11503.00,0.00,1588.50,-767.92,0.00,892.42,297.08,287.00,0.00,,
2017-01-11 06:00:00,11-Jan-2017,18.50,37078.08,38804.08,34429.00,3806.92,4781.00,954.17,11503.00,0.00,44.17,-1020.67,0.00,821.67,47.67,158.92,0.00,,
2017-01-11 12:00:00,11-Jan-2017,30.50,40501.67,41989.58,37475.25,3740.50,4781.00,1139.17,11503.00,0.00,8.33,-468.50,0.00,1005.92,-177.50,32.00,0.00,,
2017-01-11 18:00:00,11-Jan-2017,42.50,37744.92,39541.25,35022.00,3336.33,4781.00,0.00,11503.00,0.00,113.67,-709.00,0.00,984.25,-210.58,166.42,0.00,,
2017-01-12 00:00:00,12-Jan-2017,6.50,26514.25,29646.75,24734.17,2850.92,4781.00,0.00,11503.00,0.00,1643.92,-888.58,0.00,910.00,297.00,287.00,0.00,,
2017-01-12 06:00:00,12-Jan-2017,18.50,41120.92,42718.67,37590.75,2015.00,4781.00,260.42,11503.00,180.92,27.25,-1020.83,0.00,1002.33,-53.33,76.75,0.00,,
2017-01-12 12:00:00,12-Jan-2017,30.50,46071.25,47185.33,42031.25,1851.92,4781.00,179.42,11503.00,102.42,11.42,-140.83,0.00,974.17,-166.50,86.67,0.00,,
2017-01-12 18:00:00,12-Jan-2017,42.50,40146.08,41810.50,36694.83,2539.00,4781.00,0.00,11503.00,0.00,90.17,-578.50,0.00,985.33,-205.58,219.08,0.00,,
2017-01-13 00:00:00,13-Jan-2017,6.50,27542.92,30110.08,25672.58,3179.50,4781.00,0.00,11503.00,0.00,1756.25,106.75,0.00,970.92,291.58,287.00,0.00,,
2017-01-13 06:00:00,13-Jan-2017,18.50,40629.00,42374.00,37457.00,3663.00,4781.00,796.75,11503.00,20.08,52.33,-972.17,0.00,786.92,6.58,50.75,0.00,,
2017-01-13 12:00:00,13-Jan-2017,30.50,43059.00,44784.83,39358.50,3052.50,4781.00,1161.42,11503.00,0.00,9.08,-834.58,0.00,949.83,-223.33,43.33,0.00,,
2017-01-13 18:00:00,13-Jan-2017,42.50,39562.17,41295.08,36007.67,2117.08,4781.00,0.00,11503.00,0.00,126.50,-774.92,0.00,990.58,-164.83,130.33,0.00,,
2017-01-14 00:00:00,14-Jan-2017,6.50,27808.67,30926.08,25462.75,2200.08,4781.00,0.00,11503.00,0.00,1529.50,-987.92,0.00,977.58,296.17,287.00,0.00,,
2017-01-14 06:00:00,14-Jan-2017,18.50,35371.00,36991.83,32084.92,1781.75,4781.00,907.08,11503.00,9.50,58.25,-972.17,0.00,910.50,253.42,218.75,0.00,,
2017-01-14 12:00:00,14-Jan-2017,30.50,40025.00,41288.67,36174.00,1490.17,4781.00,1159.33,11503.00,92.83,7.00,-538.67,0.00,998.50,-41.08,97.42,0.00,,
2017-01-14 18:00:00,14-Jan-2017,42.50,37627.67,39032.25,34123.08,1018.25,4781.00,0.00,11503.00,0.00,8.83,-489.25,0.00,988.00,-16.00,109.58,0.00,,
2017-01-15 00:00:00,15-Jan-2017,6.50,26714.25,29299.67,24668.67,1471.58,4781.00,0.00,11503.00,0.00,1309.67,-675.75,0.00,985.08,296.92,280.33,0.00,,
2017-01-15 06:00:00,15-Jan-2017,18.50,31842.75,33924.67,29473.50,1853.42,4781.00,206.83,11503.00,0.00,461.58,-1020.33,0.00,1015.33,272.58,287.00,0.00,,
2017-01-15 12:00:00,15-Jan-2017,30.50,41038.92,41821.67,37552.75,1393.58,4781.00,370.58,11503.00,0.00,12.00,194.33,0.00,946.83,38.67,154.50,0.00,,
2017-01-15 18:00:00,15-Jan-2017,42.50,37026.75,38718.25,33707.58,803.75,4781.00,0.00,11503.00,0.00,19.75,-674.83,0.00,1005.67,-230.50,132.83,0.00,,
2017-01-16 00:00:00,16-Jan-2017,6.50,27270.67,29741.50,25002.50,736.92,4781.00,0.00,11503.00,0.00,1537.00,44.17,0.00,919.58,211.33,287.00,0.00,,
2017-01-16 06:00:00,16-Jan-2017,18.50,41885.42,43955.50,38354.42,696.17,4781.00,247.50,11503.00,68.42,16.83,-1021.75,0.00,-328.00,-96.58,60.92,0.00,,
2017-01-16 12:00:00,16-Jan-2017,30.50,45718.50,47931.67,41707.83,503.42,4781.00,365.67,11503.00,17.67,12.75,-363.83,0.00,-103.42,-384.92,-228.33,0.00,,
2017-01-16 18:00:00,16-Jan-2017,42.50,40381.83,42406.75,36846.50,438.67,4781.00,0.00,11503.00,0.00,211.67,-519.83,0.00,969.58,-279.50,-226.25,0.00,,
2017-01-17 00:00:00,17-Jan-2017,6.50,28967.08,32439.17,26553.17,489.17,4781.00,0.00,11503.00,0.00,1851.00,-1021.08,0.00,826.08,246.50,284.83,0.00,,
2017-01-17 06:00:00,17-Jan-2017,18.50,41900.33,44438.75,38294.58,573.17,4781.00,712.25,11503.00,103.83,51.33,-1021.83,0.00,-782.83,-134.75,59.92,0.00,,
2017-01-17 12:00:00,17-Jan-2017,30.50,44866.75,46811.08,41053.58,550.83,4781.00,926.00,11503.00,0.67,6.08,-372.42,0.00,-207.92,-210.25,-16.33,0.00,,
2017-01-17 18:00:00,17-Jan-2017,42.50,40854.50,42567.50,37586.58,623.75,4781.00,0.00,11503.00,0.00,69.08,-531.33,0.00,809.50,-195.08,-88.50,0.00,,
2017-01-18 00:00:00,18-Jan-2017,6.50,29098.75,32519.50,26990.00,713.25,4781.00,0.00,11503.00,0.00,1799.83,-1021.00,0.00,971.25,279.75,484.92,0.00,,
2017-01-18 06:00:00,18-Jan-2017,18.50,42235.83,44476.50,39028.83,721.42,4781.00,948.00,11503.00,0.00,31.33,-1021.92,0.00,-582.00,169.33,143.50,0.00,,
